Tempo;AcX;AcY;AcZ
2017-11-17 17:15:08:196;-0.16;0.26;0.82
2017-11-17 17:15:08:337;-0.16;0.15;0.51
2017-11-17 17:15:08:507;-0.16;0.22;0.79
2017-11-17 17:15:08:636;-0.19;0.51;1.34
2017-11-17 17:15:08:768;-0.12;0.07;0.92
2017-11-17 17:15:08:912;-0.26;-0.09;0.67
2017-11-17 17:15:09:71;-0.28;0.04;0.56
2017-11-17 17:15:09:200;-0.07;0.43;0.66
2017-11-17 17:15:09:344;-0.34;0.44;0.74
2017-11-17 17:15:09:510;-0.64;0.56;1.05
2017-11-17 17:15:09:636;-0.24;0.42;1.32
2017-11-17 17:15:09:776;-0.29;0.64;1.29
2017-11-17 17:15:09:945;0;0.46;1.17
2017-11-17 17:15:10:71;-0.14;0.04;1.31
2017-11-17 17:15:10:207;-0.07;-0.11;0.76
2017-11-17 17:15:10:351;-0.16;-0.09;1.11
2017-11-17 17:15:10:510;-0.29;0.21;1
2017-11-17 17:15:10:639;-0.24;0.14;1.5
2017-11-17 17:15:10:821;-0.01;0.27;0.96
2017-11-17 17:15:10:911;0.08;0.78;0.8
2017-11-17 17:15:11:73;0.05;0.27;0.77
2017-11-17 17:15:11:199;-0.03;0.16;0.67
2017-11-17 17:15:11:386;-0.16;0.02;1.13
2017-11-17 17:15:11:511;-0.1;0.22;0.91
2017-11-17 17:15:11:637;-0.09;0.23;1.03
2017-11-17 17:15:11:774;-0.02;-0.27;1.69
2017-11-17 17:15:12:206;0.23;1.57;1.99
2017-11-17 17:15:12:349;-0.01;0.24;1.16
2017-11-17 17:15:12:512;0.14;0.28;0.51
2017-11-17 17:15:12:765;-0.13;0.27;1.32
2017-11-17 17:15:12:909;-0.02;-0.13;1.04
2017-11-17 17:15:13:73;-0.06;0.26;0.85
2017-11-17 17:15:13:199;-0.19;0.27;0.92
2017-11-17 17:15:13:341;-0.28;0.47;0.76
2017-11-17 17:15:13:513;-0.33;0.38;1.4
2017-11-17 17:15:13:639;-0.22;0.29;1.24
2017-11-17 17:15:13:773;-0.09;0.38;0.7
2017-11-17 17:15:13:932;-0.26;0.27;0.85
